Model	Purpose	Regression_R2	Regression_MAE	Classification_accuracy	Weighted_F1	Recommended_use
Functional modules only	Biological interpretation of LAB-Score candidate groups	0.891	1.455	0.973	0.973	Main manuscript
Non-composite features	Sensitivity analysis including safety and genome-context features	0.979	0.741	0.97	0.97	Supplementary
